area_type,availability,location,size,bath,balcony,total_m2,price_mDT
Plot  Area,Ready To Move,charben,3 Bedroom,3,1,139.35,937.6727362
Super built-up  Area,Ready To Move,fousena,3 BHK,3,2,145.4814,1045.451212
Super built-up  Area,Ready To Move,fawar,3 BHK,3,,221.6594,3599.801079
Plot  Area,Ready To Move,KSRTC LAYOUT,4 Bedroom,4,0,139.35,1185.56323
Super built-up  Area,Ready To Move,makther,2 BHK,2,1,119.841,528.3300866
Built-up  Area,20-Dec,"JP NAGAR 9TH PHASE, ",3 BHK,3,2,142.2299,776.0050231
Super built-up  Area,Ready To Move,KESHAVA NAGAR,3 BHK,3,3,170.8431,1778.344845
Plot  Area,Ready To Move,DOLLARS LAYOUT,4 Bedroom,4,1,390.18,8191.164133
Super built-up  Area,18-May,hammamet,3 BHK,2,2,130.06,435.7483762
Super built-up  Area,Ready To Move,l mida,2 BHK,1,1,51.095,161.6677131
Super built-up  Area,Ready To Move,hesi farid,2 BHK,2,2,105.906,420.3360542
Super built-up  Area,21-Jun,twirf,3 BHK,3,0,124.81115,622.5284741
Built-up  Area,Ready To Move,jawharet sousse,4 Bedroom,4,0,185.8,1077.784754
Built-up  Area,Ready To Move,dakach,2 BHK,2,1,102.19,495.780987
Built-up  Area,Ready To Move,VIGNANA NAGAR,2 BHK,2,2,111.48,592.7816149
Super built-up  Area,18-Apr,skhira,3 BHK,3,1,150.3122,732.8936329
Super built-up  Area,18-Oct,hesi farid,4 BHK,5,2,262.907,1724.455607
Super built-up  Area,Ready To Move,siida,3 BHK,2,2,122.1635,797.5607182
Super built-up  Area,Ready To Move,omrane l aala,2 BHK,2,1,105.9989,460.7529825
Super built-up  Area,Ready To Move,kabarya,2 BHK,2,2,100.332,592.7816149
Super built-up  Area,Ready To Move,outik,2 BHK,2,2,111.48,646.6708526
Super built-up  Area,Ready To Move,bir hafye,2 BHK,2,2,103.2119,451.3762551
Super built-up  Area,Ready To Move,rmeda,2 BHK,2,1,94.9438,494.7032022
Super built-up  Area,Ready To Move,aamra,2 BHK,2,2,118.4475,700.5600903
Super built-up  Area,Ready To Move,4TH BLOCK JAYANAGAR,2 BHK,2,1,83.61,754.449328
Super built-up  Area,Ready To Move,mareth,2 BHK,2,3,113.7096,422.4916237
Super built-up  Area,Ready To Move,sakyet zit,2 BHK,2,3,105.4415,463.4474443
Super built-up  Area,Ready To Move,mareth,2 BHK,2,2,97.545,561.525857
Super built-up  Area,Ready To Move,bou hajla,3 BHK,3,2,142.6015,926.8948887
Super built-up  Area,17-Nov,zidi bou zid ouest,2 BHK,2,1,129.3168,1401.120181
Super built-up  Area,Ready To Move,sfax lemdina,2 BHK,2,2,97.545,776.0050231
Super built-up  Area,19-Jun,tborba,3 BHK,3,1,140.5577,1110.118297
Super built-up  Area,Ready To Move,mestir,3 BHK,3,3,150.5909,776.0050231
Super built-up  Area,Ready To Move,aamra,2 BHK,2,1,82.8668,420.3360542
Super built-up  Area,Ready To Move,hesi farid,2 BHK,2,1,111.9445,431.1139017
Super built-up  Area,18-Dec,jarzouna,3 BHK,3,2,125.8795,903.9380734
Plot  Area,Ready To Move,2ND BLOCK HRBR LAYOUT,5 Bedroom,5,,116.125,3233.354263
Plot  Area,Ready To Move,KUVEMPU NAGAR,7 Bedroom,9,,153.285,3718.357402
Super built-up  Area,Ready To Move,KARNATAKA SHABARIMALA,4 BHK,6,3,111.48,754.449328
Super built-up  Area,Ready To Move,seliena sud,2 BHK,2,2,130.06,1810.678387
Super built-up  Area,18-Nov,hazwa,2 BHK,2,1,67.4454,377.224664
Plot  Area,Ready To Move,SINGENA AGRAHARA,3 Bedroom,3,2,139.35,1605.899284
Super built-up  Area,Ready To Move,jarzouna,4 BHK,4,2,361.8455,4365.028255
Super built-up  Area,18-Dec,manzel jamil,2 BHK,2,2,100.2391,441.8917493
Super built-up  Area,Ready To Move,sfax ouest,2 BHK,2,2,108.693,495.780987
Super built-up  Area,Ready To Move,bouaarkoub,2 BHK,2,2,102.5616,420.3360542
Super built-up  Area,Ready To Move,aamdoun,2 BHK,2,1,88.255,485.0031394
Built-up  Area,Ready To Move,mornagya,4 Bedroom,4,3,447.5922,4203.360542
Built-up  Area,Ready To Move,CANARA BANK COLONY,3 BHK,2,1,153.285,560.4480722
Super built-up  Area,21-May,farnena,3 BHK,3,2,144.8311,1368.786638
Built-up  Area,Ready To Move,HANUMAGIRI,2 BHK,2,1,102.19,409.5582066
Super built-up  Area,Ready To Move,karkna,3 BHK,3,3,162.575,1616.677131
Super built-up  Area,18-Jul,gubeli sud,2 BHK,2,1,112.8735,490.3920632
Super built-up  Area,21-Feb,mednin nord,3 BHK,3,1,173.5372,1455.009418
Built-up  Area,18-Dec,l mida,2 BHK,2,1,104.977,351.6811653
Super built-up  Area,Ready To Move,aamdoun,3 BHK,3,3,145.853,695.1711665
Super built-up  Area,Ready To Move,tela,3 BHK,3,1,157.0939,1056.229059
Built-up  Area,Ready To Move,bardo,5 Bedroom,3,1,404.5795,3772.24664
Super built-up  Area,17-Oct,mahdia,2 BHK,2,2,113.8025,592.7816149
Super built-up  Area,Ready To Move,seliena nord,3 BHK,3,2,157.001,1207.118925
Super built-up  Area,Ready To Move,awled chemekh,2 BHK,2,2,131.7322,1110.118297
Super built-up  Area,Ready To Move,hemma jrid,4 BHK,3,1,176.1384,1347.230943
Super built-up  Area,17-Sep,jersis,1 BHK,1,1,56.2045,431.1139017
Plot  Area,Ready To Move,sfax ouest,5 Bedroom,5,2,74.32,1023.895517
Super built-up  Area,Ready To Move,hammamet,2 BHK,2,2,83.61,350.2800451
Plot  Area,Ready To Move,CHOLANAYAKANAHALLI,1 Bedroom,2,0,69.675,538.8923772
Plot  Area,Ready To Move,manzel bourguiba,3 Bedroom,3,1,72.462,668.2265477
Super built-up  Area,Ready To Move,beb swika,2 BHK,2,1,84.3532,280.2240361
Built-up  Area,18-May,tela,4 Bedroom,6,0,317.39285,1541.232199
Super built-up  Area,Ready To Move,bradeaa,4 BHK,4,1,298.7664,2435.793545
Plot  Area,Ready To Move,kalaa soghra,5 Bedroom,4,1,222.96,2425.015697
Built-up  Area,Ready To Move,sidi olwen,2 BHK,2,2,130.06,732.8936329
Super built-up  Area,Ready To Move,kerouon nord,2 BHK,2,2,101.4468,474.2252919
Super built-up  Area,Ready To Move,mahdia,2 BHK,2,2,116.5895,797.5607182
Built-up  Area,Ready To Move,l mida,3 BHK,2,1,139.35,1077.784754
Super built-up  Area,18-Feb,bradeaa,2 BHK,2,2,120.3984,776.0050231
Super built-up  Area,Ready To Move,borj l emri,2 BHK,2,3,85.9325,409.5582066
Built-up  Area,Ready To Move,manzel hbib,2 BHK,2,2,95.0367,452.6695968
Built-up  Area,Ready To Move,SESHADRIPURAM,2 BHK,3,2,55.74,808.3385657
Super built-up  Area,18-May,bradeaa,2 BHK,2,1,94.758,479.6142157
Super built-up  Area,17-Jul,boumhal,3 BHK,3,2,142.137,829.8942608
Super built-up  Area,Ready To Move,tbolba,3 BHK,3,2,153.285,765.2271756
Built-up  Area,Ready To Move,VIJAYA BANK LAYOUT,3 BHK,2,3,149.1045,916.1170412
Super built-up  Area,Ready To Move,manouba,2 BHK,2,1,178.8325,538.8923772
Super built-up  Area,Ready To Move,farnena,2 BHK,2,2,110.551,546.0057565
Super built-up  Area,Ready To Move,aarousa,3 BHK,3,2,127.6446,732.8936329
Built-up  Area,Ready To Move,hay l khadhra,2 BHK,2,2,105.906,700.5600903
Super built-up  Area,Ready To Move,kasr hlel,3 BHK,3,2,160.2525,1401.120181
Super built-up  Area,Ready To Move,hay tadhamen,3 BHK,2,1,99.8675,538.8923772
Super built-up  Area,Ready To Move,mjez l beb,3 BHK,3,1,146.2246,1006.00429
Built-up  Area,Ready To Move,kasserine nord,1 BHK,1,1,89.6485,344.8911214
Super built-up  Area,Ready To Move,kalaa khasba,3 BHK,3,2,143.995,894.5613461
Super built-up  Area,Ready To Move,AKSHAYANAGARA WEST,2 BHK,2,2,111.9445,646.6708526
Super built-up  Area,Ready To Move,beja sud,3 BHK,2,1,100.5178,592.7816149
Super built-up  Area,Ready To Move,siida,3 BHK,2,2,112.8735,569.6092426
Super built-up  Area,Ready To Move,jarzouna,4 BHK,5,2,230.6707,2478.904935
Plot  Area,18-Jul,PRASANTH EXTENSION,2 Bedroom,3,1,111.48,497.2898856
Super built-up  Area,Ready To Move,CHIKKATHOGURU,1 BHK,1,1,139.35,210.1680271
Plot  Area,18-May,1ST BLOCK KORAMANGALA,4 Bedroom,4,2,219.244,6466.708526
Super built-up  Area,Ready To Move,bardo,4 BHK,4,,297.0942,2694.461886
Super built-up  Area,Ready To Move,aamdoun,3 BHK,3,3,134.8908,657.2331432
Super built-up  Area,18-Apr,hammamet,3 BHK,2,2,123.4641,441.8917493
Super built-up  Area,Ready To Move,DOCTORS LAYOUT,2 BHK,2,1,104.5125,474.2252919
Plot  Area,Ready To Move,ANAND NAGAR,2 Bedroom,2,0,111.48,754.449328
Built-up  Area,Ready To Move,tela,3 BHK,3,3,125.415,430.7905663
Super built-up  Area,Ready To Move,siida,3 BHK,3,0,121.93125,551.7180157
Super built-up  Area,19-Oct,jarzouna,3 BHK,3,2,241.54,2101.680271
Plot  Area,Ready To Move,WEST OF CHORD ROAD,2 Bedroom,2,1,111.48,1724.455607
Built-up  Area,18-Dec,hammamet,3 BHK,3,1,113.338,379.7035689
Super built-up  Area,Ready To Move,kabes sud,2 BHK,2,1,116.5895,862.2278034
Super built-up  Area,Ready To Move,KESHAVA NAGAR,3 BHK,3,3,176.8816,1670.566369
Super built-up  Area,Ready To Move,zanouch,2 BHK,2,2,123.4641,754.449328
Plot  Area,Ready To Move,rades,2 Bedroom,2,1,111.48,646.6708526
Super built-up  Area,Ready To Move,tataouin sud,3 BHK,3,2,198.3415,1724.455607
Super built-up  Area,Ready To Move,RAMAKRISHNAPPA LAYOUT,3 BHK,4,3,257.333,3395.021976
Built-up  Area,19-Dec,"HOODI CIRCLE, ",1 BHK,1,1,75.5277,420.3360542
Plot  Area,Ready To Move,JUNNASANDRA,4 Bedroom,4,3,360.8236,2586.68341
Plot  Area,Ready To Move,slimen,3 Bedroom,3,1,360.0804,3233.354263
Super built-up  Area,Ready To Move,zaghwen,2 BHK,2,2,74.32,323.3354263
Plot  Area,Ready To Move,HANDENAHALLI,4 Bedroom,2,1,441.275,1293.341705
Super built-up  Area,Ready To Move,mornagya,3 BHK,3,3,139.35,754.449328
Super built-up  Area,Ready To Move,aamra,3 BHK,3,2,174.652,1023.895517
Super built-up  Area,Ready To Move,l mida,3 BHK,2,2,133.776,592.7816149
Super built-up  Area,Ready To Move,hrayrya,3 BHK,3,,146.3175,970.0062789
Super built-up  Area,Ready To Move,BANAGIRI NAGAR,3 BHK,2,2,151.427,1053.857933
Super built-up  Area,Ready To Move,fousena,3 BHK,3,1,109.622,592.7816149
Built-up  Area,Ready To Move,NAGADEVANAHALLI,2 BHK,2,1,101.261,388.0025115
Super built-up  Area,Ready To Move,rmeda,2 BHK,2,2,94.758,522.1867135
Built-up  Area,Ready To Move,"SARJAPUR ROAD, ",4 BHK,4,3,225.2825,1864.567625
Super built-up  Area,18-Mar,bir hafye,2 BHK,2,1,101.9113,364.5068039
Super built-up  Area,Ready To Move,manzel hbib,2 BHK,2,1,99.403,538.8923772
Super built-up  Area,Ready To Move,hejeb laayoun,2 BHK,2,1,92.9,625.1151575
Plot  Area,Ready To Move,manzel bourguiba,8 Bedroom,8,,104.048,1616.677131
Super built-up  Area,18-Apr,MANYATA TECH PARK,2 BHK,2,1,106.835,603.5594624
Built-up  Area,Ready To Move,manzel tmim,3 BHK,4,2,176.51,1562.787894
Super built-up  Area,Ready To Move,DIVYA UNNATHI LAYOUT,2 BHK,2,2,105.9989,528.1145296
Built-up  Area,Ready To Move,bou arada,2 BHK,2,1,87.0473,474.2252919
Built-up  Area,Ready To Move,kasr hlel,2 BHK,2,1,99.8675,646.6708526
Super built-up  Area,18-Feb,kabes ouest,2 BHK,2,1,92.9,703.7934446
Super built-up  Area,Ready To Move,touzeur,3 BHK,3,,134.705,834.3131783
Plot  Area,Ready To Move,sbiba,5 Bedroom,2,1,83.3313,916.1170412
Super built-up  Area,Ready To Move,ASHWATHNAGAR,2 BHK,2,2,86.9544,463.4474443
Built-up  Area,Ready To Move,GOPALKRISHNA NAGAR,2 BHK,2,1,118.912,808.3385657
Super built-up  Area,Ready To Move,sousse riadh,2 BHK,2,3,97.545,485.0031394
Super built-up  Area,Ready To Move,kalaa khasba,2 BHK,2,1,125.415,926.8948887
Super built-up  Area,Ready To Move,sakeyet sidi yousef,2 BHK,2,1,123.0925,754.449328
Super built-up  Area,18-Apr,mogrin,2 BHK,2,1,109.0646,635.893005
Super built-up  Area,Ready To Move,jam,3 BHK,3,2,175.581,1746.011302
Super built-up  Area,Ready To Move,WILSON GARDEN,1 BHK,1,1,68.2815,808.3385657
Built-up  Area,Ready To Move,SARVABHOUMA NAGAR,1 BHK,1,0,46.45,258.668341
Super built-up  Area,Ready To Move,mestir,3 BHK,3,3,121.1416,862.2278034
Built-up  Area,Ready To Move,fousena,3 BHK,3,2,153.5637,1293.341705
Super built-up  Area,Ready To Move,hay tadhamen,3 BHK,2,1,99.8675,560.4480722
Super built-up  Area,Ready To Move,wardya,2 BHK,3,1,112.5948,452.6695968
Built-up  Area,Ready To Move,HOYSALANAGAR,2 BHK,2,1,102.19,538.8923772
Super built-up  Area,Ready To Move,fawar,4 BHK,6,3,319.2044,5388.923772
Plot  Area,Ready To Move,SMV LAYOUT,3 Bedroom,4,0,111.48,1562.787894
Super built-up  Area,Ready To Move,hencha,2 BHK,2,2,105.906,538.8923772
Plot  Area,Ready To Move,ROOPENA AGRAHARA,2 Bedroom,2,1,111.48,1077.784754
Super built-up  Area,Ready To Move,bou hajla,3 BHK,3,2,142.3228,894.5613461
Plot  Area,Ready To Move,slimen,3 Bedroom,4,2,257.8904,2101.680271
Super built-up  Area,Ready To Move,mzouna,3 BHK,2,0,142.2299,808.3385657
Super built-up  Area,Ready To Move,hemma ouest,3 BHK,2,2,117.983,547.4068767
Super built-up  Area,18-Dec,siida,2 BHK,2,1,123.0925,571.2259198
Plot  Area,Ready To Move,CQAL LAYOUT C BLOCK,3 Bedroom,3,1,111.48,1724.455607
Super built-up  Area,17-Apr,l mida,3 BHK,2,2,107.3924,474.2252919
Plot  Area,Ready To Move,metwya,4 Bedroom,4,2,185.8,3448.911214
Super built-up  Area,Ready To Move,aamra,2 BHK,2,2,117.054,754.449328
Super built-up  Area,Ready To Move,zouhour gasserine,2 BHK,2,0,179.6686,970.0062789
Super built-up  Area,Ready To Move,sers,2 BHK,2,1,98.474,431.1139017
Super built-up  Area,Ready To Move,touzeur,3 BHK,3,1,137.1204,1023.895517
Super built-up  Area,Ready To Move,tataouin sud,2 BHK,2,1,110.0865,916.1170412
Super built-up  Area,Ready To Move,CHANNASANDRA LAYOUT,3 BHK,2,1,117.5185,883.7834985
Built-up  Area,18-May,"NEAR ELECTRONIC CITY, ",4 BHK,5,1,297.28,1616.677131
Super built-up  Area,Ready To Move,VIRAT NAGAR,2 BHK,2,2,111.1084,612.2895189
Built-up  Area,Ready To Move,hawarya,2 BHK,2,1,118.912,743.6714805
Plot  Area,Ready To Move,kalaa khasba,4 Bedroom,4,2,74.32,926.8948887
Built-up  Area,Ready To Move,mahdia,2 BHK,2,,109.1575,485.0031394
Built-up  Area,Ready To Move,KACHARAKANAHALLI,3 BHK,3,3,171.865,1056.229059
Plot  Area,Ready To Move,seliena sud,4 Bedroom,4,2,222.96,5658.36996
Super built-up  Area,Ready To Move,hesi farid,2 BHK,2,1,111.0155,754.449328
Super built-up  Area,Ready To Move,tejrouin,3 BHK,3,3,185.8,1993.901795
Carpet  Area,Ready To Move,VEERANNAPALYA,7 BHK,4,0,55.74,1077.784754
Plot  Area,18-Feb,sajnan,4 Bedroom,5,3,74.32,1670.566369
Super built-up  Area,Ready To Move,jam,2 BHK,2,2,109.622,393.3914353
Super built-up  Area,Ready To Move,aarousa,2 BHK,2,1,97.545,537.491257
Built-up  Area,18-Dec,l mida,3 BHK,2,1,130.06,435.8561546
Plot  Area,17-Dec,BAGALAKUNTE,4 Bedroom,4,2,219.244,1616.677131
Super built-up  Area,Ready To Move,BANASHANKARI STAGE 2,2 BHK,2,1,95.687,832.5887227
Super built-up  Area,Ready To Move,DODDANAKUNDI INDUSTRIAL AREA 2,2 BHK,1,2,140.4648,700.6678688
Built-up  Area,Ready To Move,jerba,2 BHK,2,1,86.3041,517.3366821
Super built-up  Area,Ready To Move,bou arada,3 BHK,3,3,116.3108,657.4487001
Built-up  Area,Ready To Move,kasr hlel,3 BHK,3,2,137.9565,1239.452467
Super built-up  Area,Ready To Move,dar chaaben fehri,3 BHK,2,2,104.4196,592.7816149
Plot  Area,Ready To Move,mednin sud,6 Bedroom,6,3,222.96,3987.803591
Built-up  Area,Ready To Move,seliena sud,3 BHK,3,1,130.7103,1293.341705
Super built-up  Area,19-Mar,mater,3 BHK,2,3,137.6778,1045.451212
Super built-up  Area,Ready To Move,sidi boubakr,2 BHK,2,1,108.0427,1065.498008
Super built-up  Area,Ready To Move,rouhya,3 BHK,3,2,145.853,1508.898656
Super built-up  Area,18-Feb,hesi farid,3 BHK,4,,323.292,3060.908702
Super built-up  Area,19-Sep,rades,1 BHK,1,1,48.308,151.3209795
Super built-up  Area,Ready To Move,OLD GURAPPANAPALYA,3 BHK,3,2,185.8,1724.455607
Super built-up  Area,Ready To Move,ghanouch,2 BHK,2,2,125.6008,808.3385657
Super built-up  Area,18-Apr,l mida,2 BHK,2,1,107.0208,700.5600903
Built-up  Area,20-Dec,"ECC ROAD, WHITEFIELD, ",3 BHK,3,2,146.3175,1002.339821
Super built-up  Area,Ready To Move,ghazela,3 BHK,4,2,182.5485,1347.230943
Built-up  Area,Ready To Move,RAMANJANEYANAGAR,3 BHK,2,2,120.77,754.449328
Plot  Area,Ready To Move,tela,4 Bedroom,4,,0.0929,1293.341705
Super built-up  Area,18-Apr,kalaa khasba,2 BHK,2,1,88.9053,506.5588345
Super built-up  Area,Ready To Move,wed lil,3 BHK,3,3,161.646,646.6708526
Plot  Area,Ready To Move,aamdoun,5 Bedroom,6,3,100.332,700.5600903
Super built-up  Area,Ready To Move,jelma,2 BHK,2,0,98.474,377.224664
Carpet  Area,Ready To Move,CHIKKADUNNASANDRA,2 BHK,2,2,90.5775,538.8923772
Super built-up  Area,18-May,ghbeli nord,2 BHK,2,2,106.835,549.6702247
Super built-up  Area,Ready To Move,hesi farid,3 BHK,2,3,161.4602,851.4499559
Super built-up  Area,18-May,rouad,3 BHK,3,2,116.125,592.7816149
Built-up  Area,Ready To Move,aamra,3 BHK,3,2,166.1052,970.0062789
Super built-up  Area,19-Dec,tibar,2 BHK,2,1,106.9279,635.893005
Super built-up  Area,Ready To Move,siida,3 BHK,2,2,120.77,646.6708526
Super built-up  Area,Ready To Move,korba,2 BHK,2,1,106.835,569.0703503
Super built-up  Area,Ready To Move,AKSHYA NAGAR,2 BHK,2,1,128.202,808.3385657
Super built-up  Area,19-Jun,jarzouna,3 BHK,3,2,152.8205,1261.008163
Super built-up  Area,Ready To Move,sousse riadh,2 BHK,2,1,105.9989,494.7032022
Super built-up  Area,Ready To Move,wardya,2 BHK,2,2,109.1575,889.1724223
Super built-up  Area,Ready To Move,sousse sidi aabd lahmid,3 BHK,2,1,125.8795,657.4487001
Built-up  Area,Ready To Move,borj cedria,2 BHK,2,0,106.835,754.449328
Super built-up  Area,18-May,INDRANAGAR  100FT ROAD DEFENCE COLONY,5 BHK,5,,538.82,862.2278034
Built-up  Area,Ready To Move,CANARA BANK COLONY,2 BHK,2,2,92.9,485.0031394
Super built-up  Area,20-Jan,bouficha,2 BHK,2,1,93.5503,700.5600903
Super built-up  Area,Ready To Move,WAJID LAYOUT THANISANDRA,4 BHK,5,2,278.7,1077.784754
Super built-up  Area,Ready To Move,kerouon sud,3 BHK,3,3,133.4044,754.449328
Super built-up  Area,Ready To Move,kalaa khasba,4 BHK,4,3,371.6,2371.126459
Built-up  Area,Ready To Move,zanouch,3 BHK,3,,220.3588,1508.898656
Plot  Area,Ready To Move,metwya,6 Bedroom,6,,139.35,2586.68341
Super built-up  Area,18-Jan,hammem sousse,3 BHK,3,2,,107.7784754
Plot  Area,Ready To Move,fawar,2 Bedroom,2,0,111.48,1616.677131
Super built-up  Area,18-Mar,souk lahad,2 BHK,2,1,94.3864,625.1151575
Super built-up  Area,Ready To Move,kelibia,2 BHK,2,2,102.19,517.3366821
Super built-up  Area,Ready To Move,B CHANNASANDRA,2 BHK,2,1,100.332,485.0031394
Super built-up  Area,Ready To Move,l mida,2 BHK,2,1,99.403,646.6708526
Super built-up  Area,Ready To Move,kasra,3 BHK,3,1,142.3228,1239.452467
Super built-up  Area,Ready To Move,ghar lmelh,2 BHK,2,2,96.616,453.9629385
Plot  Area,Ready To Move,LAXMI SAGAR LAYOUT,3 Bedroom,3,3,287.99,2694.461886
Super built-up  Area,21-Jun,twirf,2 BHK,2,0,105.67375,527.0906341
Super built-up  Area,Ready To Move,bradeaa,3 BHK,2,2,132.847,556.1369332
Plot  Area,Ready To Move,fawar,2 Bedroom,1,0,107.764,1756.78915
Super built-up  Area,Ready To Move,kousour sef,4 BHK,5,2,303.0398,2209.458746
Plot  Area,Ready To Move,ACHINS ROAD,7 Bedroom,7,0,195.09,4418.917493
Built-up  Area,Ready To Move,UVCE LAYOUT,2 BHK,2,2,110.551,1077.784754
Super built-up  Area,Ready To Move,PANDURANGA NAGAR,3 BHK,3,3,169.7283,1077.784754
Super built-up  Area,Ready To Move,aalia,2 BHK,2,1,112.409,808.3385657
Super built-up  Area,Ready To Move,NEW THIPPASANDRA,3 BHK,3,3,139.35,1023.895517
Super built-up  Area,Ready To Move,mareth,2 BHK,2,2,97.545,576.6148436
Super built-up  Area,21-Mar,jarzouna,2 BHK,2,1,116.2179,956.3184125
Super built-up  Area,Ready To Move,benzert sud,3 BHK,2,2,148.64,1239.452467
Super built-up  Area,18-Apr,l mida,2 BHK,2,1,104.7912,705.9490141
Super built-up  Area,Ready To Move,ariana soghra,3 BHK,3,2,169.078,1002.339821
Super built-up  Area,Ready To Move,awled chemekh,3 BHK,4,2,192.4888,1713.677759
Super built-up  Area,Ready To Move,manzel hbib,3 BHK,2,3,140.279,635.893005
Super built-up  Area,Ready To Move,manzel bourguiba,3 BHK,2,3,178.8325,1228.67462
Plot  Area,Ready To Move,mater,3 Bedroom,2,2,246.2779,2425.015697
Super built-up  Area,Ready To Move,awled chemekh,3 BHK,4,2,192.4888,1584.343589
Super built-up  Area,Ready To Move,hejeb laayoun,2 BHK,2,2,92.9,388.0025115
Plot  Area,Ready To Move,makther,3 Bedroom,3,2,162.7608,1562.787894
Super built-up  Area,Ready To Move,kasserine sud,2 BHK,2,3,89.184,603.5594624
Super built-up  Area,Ready To Move,GATTIGERE,2 BHK,2,2,109.622,679.0043952
Built-up  Area,Ready To Move,karkna,3 BHK,3,1,210.883,1940.012558
Built-up  Area,Ready To Move,bir lahmer,2 Bedroom,2,0,60.385,635.893005
Super built-up  Area,Ready To Move,nasrallah,2 BHK,2,1,111.48,808.3385657
Super built-up  Area,Ready To Move,hay tadhamen,3 BHK,2,1,109.622,495.780987
Super built-up  Area,18-Jan,ROOPENA AGRAHARA,3 BHK,3,2,120.77,506.5588345
Built-up  Area,Ready To Move,aamra,2 BHK,2,0,107.4853,431.1139017
Super built-up  Area,21-Jan,aamdoun,3 BHK,3,2,120.77,743.6714805
Super built-up  Area,Ready To Move,jawharet sousse,3 BHK,2,1,121.2345,635.893005
Super built-up  Area,Ready To Move,ghazela,3 BHK,4,2,186.3574,2112.458118
Super built-up  Area,Ready To Move,aarousa,2 BHK,2,1,119.841,862.2278034
Super built-up  Area,Ready To Move,wed lil,2 BHK,2,3,108.693,485.0031394
Plot  Area,Ready To Move,COTTONPET,4 Bedroom,2,2,90.2059,1455.009418
Super built-up  Area,Ready To Move,sbiba,2 BHK,2,3,130.06,840.6721084
Super built-up  Area,Ready To Move,nasrallah,2 BHK,2,2,111.48,808.3385657
Built-up  Area,Ready To Move,KAMAKSHIPALYA,3 BHK,2,0,107.2995,646.6708526
Built-up  Area,Ready To Move,mornagya,3 BHK,3,2,160.2525,916.1170412
Super built-up  Area,21-Oct,aamdoun,2 BHK,2,1,65.03,431.1139017
Built-up  Area,Ready To Move,YEMLUR,4 Bedroom,5,,650.3,22094.58746
Super built-up  Area,22-Jun,manzel bourguiba,2 BHK,2,1,103.3048,948.4505838
Super built-up  Area,Ready To Move,zanouch,2 BHK,2,,109.4362,840.6721084
Super built-up  Area,20-Jan,sousse lemdina,2 BHK,2,1,118.3546,873.005651
Super built-up  Area,Ready To Move,bouaarkoub,2 BHK,2,1,85.0035,344.8911214
Plot  Area,Ready To Move,hay l khadhra,8 Bedroom,6,2,153.285,1455.009418
Super built-up  Area,Ready To Move,jam,1 BHK,1,2,70.604,229.3525957
Built-up  Area,Ready To Move,MARAGONDANAHALLI,3 BHK,3,2,143.066,732.8936329
Super built-up  Area,Ready To Move,P&T LAYOUT,2 BHK,2,3,112.0374,414.9471304
Super built-up  Area,Ready To Move,BASAVANNA NAGAR,3 BHK,3,2,152.8205,1023.895517
Plot  Area,Ready To Move,CANARA BANK LAYOUT,4 Bedroom,4,2,111.48,1832.234082
Plot  Area,Ready To Move,SINGAPURA PARADISE,4 Bedroom,4,1,111.48,1508.898656
Super built-up  Area,Ready To Move,souk jdid,4 BHK,3,2,217.5718,1239.452467
Super built-up  Area,Ready To Move,KANNUR,3 BHK,2,1,111.48,592.7816149
Super built-up  Area,Ready To Move,sehlin,2 BHK,2,2,98.1024,355.6689689
Plot  Area,Ready To Move,manzel hbib,8 Bedroom,8,,445.92,2425.015697
Super built-up  Area,Ready To Move,aamdoun,3 BHK,3,3,134.705,585.2371216
Super built-up  Area,18-Apr,THIRUMENAHALLI,2 BHK,2,2,107.8569,395.4392264
Super built-up  Area,Ready To Move,DOLLARS COLONY,2 BHK,2,3,101.9113,700.5600903
Built-up  Area,Ready To Move,siida,2 BHK,2,2,78.965,377.224664
Super built-up  Area,Ready To Move,kasr hlel,3 BHK,3,2,159.3235,1239.452467
Super built-up  Area,Ready To Move,ghriba,3 BHK,3,,213.67,3416.577671
Super built-up  Area,Ready To Move,l mida,2 BHK,2,1,111.48,635.893005
Super built-up  Area,18-Oct,lemdina,2 BHK,2,2,100.332,409.5582066
Super built-up  Area,Ready To Move,touzeur,2 BHK,2,1,111.48,542.1257314
Plot  Area,Ready To Move,4TH BLOCK KORAMANGALA,4 Bedroom,4,0,222.96,5927.816149
Super built-up  Area,Ready To Move,nfidha,3 BHK,2,1,130.06,840.6721084
Plot  Area,Ready To Move,hesi farid,4 Bedroom,4,3,139.35,2155.569509
Carpet  Area,20-Dec,aamdoun,1 BHK,1,0,42.5482,212.2697074
Super built-up  Area,Ready To Move,kalaa khasba,2 BHK,2,1,114.267,614.33731
Built-up  Area,Ready To Move,sawaf,3 BHK,3,3,152.356,948.4505838
Super built-up  Area,Ready To Move,nfidha,3 BHK,3,2,157.93,1347.230943
Super built-up  Area,Ready To Move,sokra,3 BHK,2,,137.3062,474.2252919
Super built-up  Area,Ready To Move,DEFENCE COLONY,4 BHK,4,,613.14,10626.95768
Super built-up  Area,Ready To Move,nfidha,2 BHK,2,2,94.758,439.6284013
Plot  Area,Ready To Move,rgueb,2 Bedroom,2,1,111.48,1616.677131
Built-up  Area,Ready To Move,fousena,3 BHK,2,2,118.4475,1023.895517
Built-up  Area,Ready To Move,CAMBRIDGE LAYOUT,4 Bedroom,3,1,148.64,1778.344845
